title,label
"The professor said so, therefore it must be true.",Appeal to Authority
Let's examine the evidence before drawing a conclusion.,No Fallacy
Let's examine the evidence before drawing a conclusion.,No Fallacy
"The minister has spoken, so don't question it.",Appeal to Authority
"A famous person agrees, so the fact is true.",Appeal to Authority
Choose AI or your future is ruined.,False Dilemma
"A famous person agrees, so the fact is true.",Appeal to Authority
Choose AI or your future is ruined.,False Dilemma
"A famous person agrees, so the fact is true.",Appeal to Authority
"Why listen to him, his grades are bad.",Ad Hominem
"The minister has spoken, so don't question it.",Appeal to Authority
Your opinion is wrong because you are stupid.,Ad Hominem
"Why listen to him, his grades are bad.",Ad Hominem
Your opinion is wrong because you are stupid.,Ad Hominem
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"The minister has spoken, so don't question it.",Appeal to Authority
Choose AI or your future is ruined.,False Dilemma
Discussions should focus on arguments and data.,No Fallacy
Choose AI or your future is ruined.,False Dilemma
"A famous person agrees, so the fact is true.",Appeal to Authority
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"The celebrity supports it, so it can't be wrong.",Appeal to Authority
Either support this rule or be anti-education.,False Dilemma
"College dropout, just shut up.",Ad Hominem
There are only two choices: an elite college or failure.,False Dilemma
"College dropout, just shut up.",Ad Hominem
"College dropout, just shut up.",Ad Hominem
"The professor said so, therefore it must be true.",Appeal to Authority
"The minister has spoken, so don't question it.",Appeal to Authority
"If you disagree, it means you are our enemy.",False Dilemma
"If you disagree, it means you are our enemy.",False Dilemma
That opinion needs to be tested with research.,No Fallacy
"You are poor, so your argument doesn't matter.",Ad Hominem
"The minister has spoken, so don't question it.",Appeal to Authority
That opinion needs to be tested with research.,No Fallacy
I agree because the data supports the claim.,No Fallacy
"You are poor, so your argument doesn't matter.",Ad Hominem
There are only two choices: an elite college or failure.,False Dilemma
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
Either support this rule or be anti-education.,False Dilemma
"Why listen to him, his grades are bad.",Ad Hominem
That opinion needs to be tested with research.,No Fallacy
I agree because the data supports the claim.,No Fallacy
Discussions should focus on arguments and data.,No Fallacy
"The professor said so, therefore it must be true.",Appeal to Authority
I agree because the data supports the claim.,No Fallacy
Discussions should focus on arguments and data.,No Fallacy
Let's examine the evidence before drawing a conclusion.,No Fallacy
"The celebrity supports it, so it can't be wrong.",Appeal to Authority
"I met a strict lecturer, so all lecturers must be strict.",Hasty Generalization
There are only two choices: an elite college or failure.,False Dilemma
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
Discussions should focus on arguments and data.,No Fallacy
"The minister has spoken, so don't question it.",Appeal to Authority
There are only two choices: an elite college or failure.,False Dilemma
"Why listen to him, his grades are bad.",Ad Hominem
"The professor said so, therefore it must be true.",Appeal to Authority
I agree because the data supports the claim.,No Fallacy
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
Choose AI or your future is ruined.,False Dilemma
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"Why listen to him, his grades are bad.",Ad Hominem
"One programmer fails, the profession is bad.",Hasty Generalization
Your opinion is wrong because you are stupid.,Ad Hominem
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"The professor said so, therefore it must be true.",Appeal to Authority
"The celebrity supports it, so it can't be wrong.",Appeal to Authority
Let's examine the evidence before drawing a conclusion.,No Fallacy
Choose AI or your future is ruined.,False Dilemma
Choose AI or your future is ruined.,False Dilemma
"You are poor, so your argument doesn't matter.",Ad Hominem
"You are poor, so your argument doesn't matter.",Ad Hominem
"Why listen to him, his grades are bad.",Ad Hominem
"You are poor, so your argument doesn't matter.",Ad Hominem
"The minister has spoken, so don't question it.",Appeal to Authority
Your opinion is wrong because you are stupid.,Ad Hominem
There are only two choices: an elite college or failure.,False Dilemma
Choose AI or your future is ruined.,False Dilemma
I agree because the data supports the claim.,No Fallacy
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"The professor said so, therefore it must be true.",Appeal to Authority
Let's examine the evidence before drawing a conclusion.,No Fallacy
Choose AI or your future is ruined.,False Dilemma
"College dropout, just shut up.",Ad Hominem
"The minister has spoken, so don't question it.",Appeal to Authority
Either support this rule or be anti-education.,False Dilemma
"One programmer fails, the profession is bad.",Hasty Generalization
Choose AI or your future is ruined.,False Dilemma
There are only two choices: an elite college or failure.,False Dilemma
"The professor said so, therefore it must be true.",Appeal to Authority
"I met a strict lecturer, so all lecturers must be strict.",Hasty Generalization
"One programmer fails, the profession is bad.",Hasty Generalization
"College dropout, just shut up.",Ad Hominem
That opinion needs to be tested with research.,No Fallacy
"A famous person agrees, so the fact is true.",Appeal to Authority
"A famous person agrees, so the fact is true.",Appeal to Authority
"One student cheats, meaning all students are cheaters.",Hasty Generalization
Let's examine the evidence before drawing a conclusion.,No Fallacy
"College dropout, just shut up.",Ad Hominem
"The celebrity supports it, so it can't be wrong.",Appeal to Authority
I agree because the data supports the claim.,No Fallacy
"College dropout, just shut up.",Ad Hominem
There are only two choices: an elite college or failure.,False Dilemma
Your opinion is wrong because you are stupid.,Ad Hominem
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"College dropout, just shut up.",Ad Hominem
"A famous person agrees, so the fact is true.",Appeal to Authority
"If you disagree, it means you are our enemy.",False Dilemma
"College dropout, just shut up.",Ad Hominem
"You are poor, so your argument doesn't matter.",Ad Hominem
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
Discussions should focus on arguments and data.,No Fallacy
Your opinion is wrong because you are stupid.,Ad Hominem
There are only two choices: an elite college or failure.,False Dilemma
Choose AI or your future is ruined.,False Dilemma
"The minister has spoken, so don't question it.",Appeal to Authority
"One programmer fails, the profession is bad.",Hasty Generalization
"I met a strict lecturer, so all lecturers must be strict.",Hasty Generalization
"A famous person agrees, so the fact is true.",Appeal to Authority
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"One student cheats, meaning all students are cheaters.",Hasty Generalization
"College dropout, just shut up.",Ad Hominem
"College dropout, just shut up.",Ad Hominem
"If you disagree, it means you are our enemy.",False Dilemma
"If you disagree, it means you are our enemy.",False Dilemma
There are only two choices: an elite college or failure.,False Dilemma
Let's examine the evidence before drawing a conclusion.,No Fallacy
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"I met a strict lecturer, so all lecturers must be strict.",Hasty Generalization
"Once someone uses AI out of laziness, all AI users become lazy.",Hasty Generalization
"The celebrity supports it, so it can't be wrong.",Appeal to Authority
